T,LOLA,UCB,UCB+LLM,Pure LLM,E&C,LOLA_vs_UCB_%,LOLA_vs_PureLLM_%,LOLA_vs_EC_%
50,0.05376034324241496,0.05026662580447441,0.05415874961691695,0.05371130861170702,0.04946368372663193,6.950371905865138,0.09129293620906666,8.686493184634465
100,0.054296659515783025,0.05104198590254368,0.05430585350904076,0.053741955255899476,0.05040760036775973,6.3764635244671215,1.0321624087591346,7.715223735408568
200,0.05527122280110328,0.05264787005822862,0.05526815813668403,0.05430585350904076,0.05110021452650935,4.982827871238149,1.777652370203163,8.162408540242298
400,0.05514940239043825,0.05304857493104505,0.05508274593931964,0.053532791909285934,0.05214373276126264,3.960195843383078,3.019850868028229,5.764201122571933
600,0.05566401062416999,0.05401930738584125,0.05547502298498314,0.053787414444784964,0.053098886505261005,3.044658137841709,3.488913157020093,4.830843521840779
800,0.056046199816120135,0.05475827459393196,0.05584163346613546,0.053787159056083354,0.05319299724180202,2.352019364632965,4.199962964545683,5.3638687839832935
1000,0.05637756665645111,0.05514894269077536,0.056114311982837874,0.05368219429972418,0.05365430585350904,2.2278286866980355,5.020980218650979,5.075568045512173
