T,LOLA vs UCB_diff_%,LOLA vs UCB_pval,LOLA vs Pure LLM_diff_%,LOLA vs Pure LLM_pval,LOLA vs E&C_diff_%,LOLA vs E&C_pval,LOLA vs UCB+LLM_diff_%,LOLA vs UCB+LLM_pval,UCB vs Pure LLM_diff_%,UCB vs Pure LLM_pval,UCB vs E&C_diff_%,UCB vs E&C_pval,UCB vs UCB+LLM_diff_%,UCB vs UCB+LLM_pval,Pure LLM vs E&C_diff_%,Pure LLM vs E&C_pval,Pure LLM vs UCB+LLM_diff_%,Pure LLM vs UCB+LLM_pval,E&C vs UCB+LLM_diff_%,E&C vs UCB+LLM_pval
50,6.95037190586514,2.571423303783225e-22,0.09129293620906087,0.812259637136814,8.686493184634449,3.943269064481432e-07,-0.7356269805341782,0.007583430595454451,-6.413328768686523,9.226596114425275e-21,1.6232961586121444,0.32937705142096596,-7.186509732910819,2.2324728197884477e-26,8.58736059479554,6.165060466160032e-07,-0.8261656858306925,0.0019703284888983926,-8.669081032141241,3.2440169712565106e-08
100,6.376463524467127,4.875645242205046e-28,1.0321624087591241,0.0031743442931591813,7.715223735408559,1.5166917929065352e-09,-0.01693002257336338,0.9486746576576742,-5.023950729927007,6.753186625128902e-17,1.258511673151751,0.2976454753173407,-6.010158013544017,3.8170422826829837e-26,6.6147859922178975,2.809596738833531e-07,-1.038374717832957,4.03995791742491e-06,-7.178329571106095,1.5814966394129804e-09
200,4.98282787123814,1.7360580278263861e-22,1.7776523702031606,1.2592497148890973e-07,8.162408540242295,1.0208942955991977e-16,0.005545081512698333,0.9806860120198425,-3.053047404063206,2.8883070608913097e-08,3.028667386350006,0.0010939431971099091,-4.741044693356992,1.1145294846400044e-21,6.273239774499219,4.285534714231152e-10,-1.7411555949872457,6.515587089303085e-12,-7.5413108572695995,1.8379892384677545e-16
400,3.960195843383064,7.431337866441969e-22,3.0198508680282234,8.425324243684112e-16,5.764201122571926,1.937488669695781e-15,0.12101148913678482,0.5569643953640699,-0.9045240514662732,0.071056435402783,1.7352846101854305,0.013077789106993462,-3.692936823657051,3.646373125000628e-20,2.6639043169061685,0.0005788552809455387,-2.813864856594431,1.8358229084782146e-22,-5.335633015272485,1.6855155024234137e-14
600,3.0446581378416977,2.126871054279777e-16,3.488913157020085,9.525832258554805e-20,4.83084352184076,7.569766981180611e-14,0.34067158338627546,0.09768493285252236,0.43112862637101745,0.3667499834400898,1.7334090056465654,0.004588178727698273,-2.624091926083474,1.8861198756275772e-12,1.2966899775868868,0.0613167436236257,-3.0421051662385254,9.333558696600116e-24,-4.2832546105755505,4.416253131201083e-12
800,2.35201936463296,4.881437412246403e-11,4.1999629645456755,5.1158515423208976e-27,5.363868783983293,1.1178058562401598e-19,0.3663330337726128,0.04380392582739726,1.8054783983590446,0.0001124756211532547,2.942638003672896,3.406340030943747e-08,-1.9400558417770584,3.509646210495632e-08,1.1169925461812682,0.08650742688419454,-3.679108726821203,2.596134982709019e-30,-4.743120965363006,3.123404967376396e-17
1000,2.2278286866980452,5.389958991449531e-11,5.020980218650987,1.8674169190775402e-37,5.075568045512183,5.328977159390651e-21,0.4691399828509949,0.005028098134314482,2.732280992207347,1.3894521046684635e-08,2.7856791985103437,5.0714225935616085e-08,-1.7203619860077224,4.1179564402929447e-07,0.05197802072266571,0.9319561379020174,-4.334219911415011,2.3300825236761382e-40,-4.383919257677457,4.907210609911098e-17
